Name,Translation
aaditya,आदित्य
aarifa,आरिफा
abhishak,अभिशक
abishek,अबिस्के
ajab,अजब
ajaj,अजाज
ajim,अजिम
ajmer,अजमेर
akansh,अकांश
akbar,अक्कुरब
akram,अकराम
akshita,अक्कार्त
altab,अलबता
ameen,अमीन
amjad,अमजा
amreek,अमरिक
amreeta,अमरीता
anamika,आनकाओ
aniket,अनिक्ट
animesh,अनिमेश
anishkaa,अनिष्का
ankala,अंकला
annish,अन्नीश
anshika,आंशिका
anshum,अंशुमा
araddhna,आरदधना
aradhya,आरधाराज
areen,आरीन
arif,आरिफ
arnub,अर्णब
arvinda,अर्विंद
arzoo,अर्ज़
asharam,आशाराम
ashiqu,आशीक
ashlam,आशलम
ashman,आश्मन
ashsish,आशांसी
asruddin,असरोजुद्दीन
avantika,अवन्तिका
avneet,अवनीत
babali,बबाली
baban,बबन
babupuri,बाब्बू
bachcha,बच्चा
balbiri,बलोगित
banju,बंजू
barham,बरहम
beeti,बीती
bhagay,भग्य
bhatia,भतिया
bhola,भोला
bhoomi,भूपी
bhoop,भुप
binpal,बिनापाल
bipin,बिपवीन
bipnesh,बिपेश
bir,बीर
biraj,बिराज
birmati,बिरमाती
bishan,बिस्ंसाहान
bivla,बिस्लाहवी
bodu,बोगू
boduram,बोज़ु
brajendra,बेंद्र्यम
bram,बराम
bupal,बुपाल
chaman,चमन
chandesh,चंदेबाराम
chando,चोंद
chandru,चंद्रफ़ू
chaubey,चुबी
chertamani,चेरमान
chhamo,छोहम
chiranjavi,चिंध
chunni,चुन्वी
danveer,दनवीर
deba,ड़ीबा
deendyal,दीयांद्या
deep,दीप
deepender,दीपेंद्र
deni,देवनी
deva,देव
deveshwari,देव्याकेश
devi,देवी
devraj,देवराज
dhaney,धैनी
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,धीरेन्द्र
dilip,दिलीप
dimpu,दीपांशु
dipeeka,दीपक
disi,दिसि
divakar,दिवाकर
dular,डरालाल
dulari,दुरडी
dund,दुनीद
durgashankar,दुर्षंकर
etahsaam,एतहम
faraha,फारहा
farha,फ़फ़हा
fulo,फूरलो
gaffur,गुफ्फार
ganguly,गुल्ञा
gappu,गपू
geetu,गीतू
ghan,घहान
gobind,गोंबी
gonsan,गोनसन
gulabsha,गुलाशा
gulbasha,गुलशा
gulfan,गुलफ़ान
guluram,गुलराम
gungun,गुघनंद
gupta,गुणता
gurmel,गुरेश्लेम
gurubaksh,गुरुबेश
gurucharan,गुरुणव
gyanu,ज्ञागु्य
hanni,हनीम
hanumanram,हनुनराम
hardam,हरमद
harleen,हरलीन
harmani,हरमननी
hasmita,हस्मिता
hem,हेम
himansi,हिमांसदीप
ibrahim,इब्राहीम
ijhar,ैसार
ikrar,इकरालाल
ilema,इल्मा
irsad,इरकिद
ishtkar,ईशतरव
israr,इस्रार
jagriti,जगवीर
jaiprakash,जयप्रकाश
jamrujaha,जजखा
jani,जानी
janid,जनीद
jasvant,जसवंत
jasveer,जसवीर
jasvir,जसवीर
javal,जावल
jayalalithaa,जयशिथा
jeeya,जीया
jhansi,झांसी
jitin,जीन
jomiya,जोकिया
joya,जोया
jubed,जुबेज़
juna,जुना
junl,जुलंराम
jya,जया
kalip,कलीप
kamal,कमल
kamil,कमइल
kamini,कानिमी
kamrudeen,कामरुद्दीन
kapish,कपिश
karunakar,करुकेश्वर
kasturi,कस्ौत्री
khalidur,खालिमतर
kheem,दिम
khetra,खेतर
khusbu,खुशबू
khushabu,खुशबू
khushnudi,खुंगक्षा
khushnuma,खुशुंमा
kishore,किशोर
kokila,कोकनू
koushik,कोशिसु
krishka,कृष्का
kuldeel,कुलसुल
kumkum,कुमक
kunden,कुंडन
kusham,कुशम
labbhi,लबजी
laka,लक्का
lakhamichand,लख्मा
laskshita,लस्क्ष्टि
lavkush,लक्ष्ट
lilaram,लीलाराम
lukman,लक्ष्मण
madharam,ममदर
madhava,मैवर
madhuni,मधुमीनी
mahadevi,मछदेवी
mahasingh,महसिंह
mahesh,महेश
mahipal,मन्हपाल
maisan,मैसन
mallika,मल्का
malti,मलती
mamata,मामता
manan,मनण
mandan,मंदन
manish,मनीश
manit,मीत
manku,मंकु
manmath,ममानट
mansha,मंसाशा
manuja,मनुजा
marjina,मार्जीना
masoom,मूसम
mayank,मययंक
mayushi,मयुषाण
megraaj,मेघा
mesak,मेक्षिक
methun,मेतुन
mhosin,महोशन
midhana,मिधना
mithu,मिथूलाल
mohanram,मोहराम
moolchul,मूलच
mukkesh,मुकेशक
mula,मुला
muntiyaj,मुंतजदी
muslim,मुस्मिम
najmin,नाजिन
najre,नजरेन्द्र
najreen,नजरीन
nanda,नंदा
nanka,नंकाया
narain,नरासीन
narbahadur,नर्बज़ा
naresh,नरेश
nargesh,नर्गेश
naseema,नसीमा
nathuram,नाथूराम
nausad,नौसद
naveeja,नवीजा
navin,नविन
naviya,नविया
nayaka,नयका
neeru,नीरू
neil,नेलेश
nicharon,निनोन
nikky,निक्य
niladri,नीलाद्री
nimahe,निथे
nirosha,निरोसना
nisat,निसात
nittin,नितिना
noorjhan,नूरजहाँ
nshima,नशिमा
nuraish,नुरश
oli,ओली
omesh,ओमेश
omkar,ओंकर
panku,पंकौ
pannu,पन्नू
papiya,पप्या
papu,पप्पू
pardeep,परदीप
pargati,परगति
parniti,पविर्णिला
parul,परुल
phirdos,फूनिदर
pintu,पिंट्टू
pooga,पूल
popatlal,पोपईतलाल
pphola,फोला
prabhat,प्रभात्त
prabhila,प्रभला
prachi,प्रिया
pramjot,प्रोज़
pramod,प्प्रोभ
prayatan,प्र्त्नया
prem,प्रेम
premchand,प्रेमचंद
premo,प्रेमी
prempal,प्रेमपाल
preyojit,प्रेजोटी
pritee,प्रीति
pritika,प्रिका
priyanshu,प्रियाुंश
puneeta,पुनीता
punkaj,पुकुजला
pushkar,पुष्कुर
puspa&,पुष्पा
qadeem,क़ादीम
radheyshyam,राधेश्याम
raeeyan,राईयन
rafal,राफ़ालाल
ragini,रागिनी
raja,राजज
rajkarnta,राजकारंत
rajput,राजपुत
raksha,राक्षा
rambarose,रामरोसेन्द्र
rambir,रामबीर
ramli,रामल
ramulu,रामुलु
rangeeta,रंगीता
ranjita,रणिता
rashma,राश्मा
ratn,रत्न
revakshi,रेड्वा
rihana,रिहाना
rini,रिं
rinka,रिंका
rony,रोहिन
roshanlal,रोशलेश
ruji,रूजली
rukmani,रुखामणि
saalu,सालु
saaniya,सनिया
saddam,सदधाम
safiq,सगीक
sahaja,साजा
sahajad,साजाद
saheb,साहिब
sahenaj,सानेज
sahun,साहगुन
sajni,सजनी
salauddin,सलाउद्दीन
saleem,सलीम
sally,सल्लेय
saloni,सलनी
samarth,समथार्थ
samim,समीम
samir,समिर
samiron,समौरन
santna,संता
sapana,सपना
sashi,साशी
sashikala,साशिला
satrughan,सतरोहन
satvik,सत्वी
satyvrat,सत्त्यारनी
sauni,सनि
shabanm,शबानम
shadna,शादना
shahir,शाहिर
shahnaj,शाहनाज
shahruf,शाहूहा
shakti,शती
shakutal,शकुतल
shamsher,शमरेश
shan,शान
shanshak,शांकरक
shelly,शैलेया
shi,शि
shimpi,शिपी
shivkumari,शिशवकर
shobhit,शोबिप्रीत
shreemati,श्रीमती
shsi,शासी
shyama,श्याम
shyamvati,श्यामकीति
shymo,श्याम
siddharth,सिधार्थ
simpi,सिमपी
sirajuddin,सिद्धाद्दीन
sivani,सिवानी
siya,सिया
smriti,स्म्री
soban,सोबन
somprakash,सोमप्रकाश
sony,सोनेनी
sourav,सौरब
spna,स्पना
stephen,सतेनपरे
sufiya,सुफिया
sugandha,सुगिया
sukhavinder,सुखविंदर
sukhpreeet,सुखप्रीत
sunny,सुन्नी
tabbasum,तब्बम
tajinder,ताजिंदर
talwar,तातारवि
tamana,तमना
tamanna,तन्पा
tanish,तनिश
tanuj,तंजी
tanushri,तनुश्री
taramati,तारामती
tarnnum,तार्न्नुम
teena,तीना
tikku,तिक्टु
tilak,तिलाक
tina,तैना
tinku,तितिंकू
tofik,तोजईक
upender,उपेंदर
vahab,वहाब
vajid,वजी
vandhna,वंध
varda,र्दादा
vasa,वासुस
vashanavi,वैशान्वी
verendra,वेरेन्द्र
veshali,वौशाली
vijay,विजय
viney,विनी
vipta,विप्ता
vrendra,रेरेंद्र
waghal,वाघनाथ
yasin,यसीन
yesh,येश
